Wls,LMS_low,LMS_low_pos,LMS_low_neg,LMS_high,LMS_high_pos,LMS_high_neg,Mel_low,Mel_low_pos,Mel_low_neg,Mel_high,Mel_high_pos,Mel_high_neg
380,2.6864e-05,2.71095e-05,2.6618e-05,7.744e-05,8.003e-05,7.485e-05,3.7739e-05,3.9925e-05,3.5553e-05,4.7826e-05,5.0895e-05,4.4757e-05
381,2.795857571602e-05,2.6059866797815e-05,2.9857668689218e-05,7.56664021426307e-05,7.7950232661938e-05,7.33817482775805e-05,3.89051862791889e-05,4.07334309971815e-05,3.70769470021847e-05,5.99953192884165e-05,5.92271824346843e-05,6.07663755813762e-05
382,2.7915e-05,2.5101e-05,3.07295e-05,7.9415e-05,8.2675e-05,7.6155e-05,3.97915e-05,4.196e-05,3.7623e-05,6.389e-05,6.2725e-05,6.506e-05
383,2.792079928398e-05,2.4918258202185e-05,3.09235813107819e-05,8.49560978573693e-05,8.9404767338062e-05,8.05082517224195e-05,4.03395637208111e-05,4.31490690028185e-05,3.75300529978153e-05,6.29549307115835e-05,6.33053175653157e-05,6.26103744186238e-05
384,2.91635e-05,2.6197e-05,3.213e-05,8.856e-05,9.334e-05,8.378e-05,4.0491e-05,4.3845e-05,3.7137e-05,6.0635e-05,6.2885e-05,5.839e-05
385,3.21327896480601e-05,2.90745378934449e-05,3.51910685676541e-05,8.77729564278922e-05,9.1381322985814e-05,8.41614948327415e-05,4.01686838375667e-05,4.36861679915445e-05,3.66512160065541e-05,5.96157078652494e-05,6.29452973040529e-05,5.62886267441285e-05
386,3.4527e-05,3.1496e-05,3.7558e-05,8.5245e-05,8.723e-05,8.3255e-05,3.92205e-05,4.2687e-05,3.5754e-05,5.9545e-05,6.3225e-05,5.5865e-05
387,3.42357921237797e-05,3.16234652240354e-05,3.68477694186015e-05,8.42089514310618e-05,8.52805657186819e-05,8.31345189466145e-05,3.77533259289222e-05,4.11391965310034e-05,3.43673954759683e-05,5.92747378274187e-05,6.29716182184726e-05,5.55769936048621e-05
388,3.27055e-05,3.0679e-05,3.47315e-05,8.5125e-05,8.59e-05,8.435e-05,3.6985e-05,4.00675e-05,3.39025e-05,5.751e-05,6.121e-05,5.381e-05
389,3.1570604356821e-05,3.00379137104135e-05,3.310329125794e-05,8.68062378478606e-05,8.76451641394583e-05,8.59673043808004e-05,3.76032624467444e-05,4.00492958844419e-05,3.51575145895727e-05,5.35586533250758e-05,5.74619798220568e-05,4.96572113364231e-05
390,2.96615e-05,2.86285e-05,3.0695e-05,8.425e-05,8.586e-05,8.264e-05,3.70645e-05,3.91395e-05,3.499e-05,4.92865e-05,5.346e-05,4.51155e-05
391,2.59665404489364e-05,2.55071924343105e-05,2.64262530496386e-05,7.41123471774957e-05,7.73644027234847e-05,7.08631385301839e-05,3.30776242841001e-05,3.55279949312291e-05,3.06276086657409e-05,4.6792648872278e-05,5.10223374933002e-05,4.25632235494453e-05
392,2.291e-05,2.269e-05,2.313e-05,6.35e-05,6.8095e-05,5.891e-05,2.7593e-05,3.0467e-05,2.4719e-05,4.65515e-05,5.01e-05,4.3001e-05
393,2.28865463474333e-05,2.22587540523443e-05,2.35142590435056e-05,5.95562484421565e-05,6.40453499666027e-05,5.5070141498464e-05,2.3593927916855e-05,2.61741618906416e-05,2.10133632474639e-05,4.7982063685812e-05,4.99517327047422e-05,4.60108944657956e-05
